id,sent
id817972348262809630,0.0
id340495377017077761,0.04963508771929825
id310872670298439680,-0.03616176470588236
id403186597673304065,0.2050909090909091
id160105994217586689,0.0
id777410951019888660,0.07503965517241379
id850303830229909514,0.0
id247283454440374274,0.026600000000000002
id817972348262809630,0.0
id340495377017077761,0.04963508771929824
id310872670298439680,-0.03616176470588236
id403186597673304065,0.20509090909090907
id160105994217586689,0.0
id777410951019888660,0.07503965517241379
id850303830229909514,0.0
id247283454440374274,0.026600000000000002
